"","Description","daGAL4_plus1","daGAL4_plus2","daGAL4_plus3","daGAL4_plus4","daGAL4_plus5","daGAL4_Ab_ARC1","daGAL4_Ab_ARC2","daGAL4_Ab_ARC3","daGAL4_Ab_ARC4","daGAL4_Ab_ARC5","logFC","adj.P.Val","gene_name","symbol","cutoff1"
"3881","GH07209p OS=Drosophila melanogaster GN=BEST:CK00246 PE=1 SV=1",7.275,7.347,7.351,7.416,7.416,7.315,7.091,7.064,7.072,7.145,-0.224,0.026,"GH07209p","BEST:CK00246","no_change"
"3882","Brahma associated protein 111kD OS=Drosophila melanogaster GN=Bap111 PE=1 SV=1",6.583,7.014,6.879,6.911,6.886,6.688,6.86,6.525,6.51,5.902,-0.358,0.1,"Brahma associated protein 111kD","Bap111","no_change"
"3883","GTP-binding protein Rheb homolog OS=Drosophila melanogaster GN=Rheb PE=2 SV=1",7.685,7.631,7.492,7.566,7.528,7.308,7.649,7.616,7.473,7.509,-0.069,0.463,"GTP-binding protein Rheb homolog","Rheb","no_change"
"3884","Adaptor protein complex 1, gamma subunit, isoform D OS=Drosophila melanogaster GN=AP-1gamma PE=1 SV=1",6.624,6.77,6.528,6.742,6.722,6.7,6.558,6.47,6.652,6.328,-0.135,0.201,"Adaptor protein complex 1, gamma subunit, isoform D","AP-1gamma","no_change"
"3885","Protein MAK16 homolog OS=Drosophila melanogaster GN=Rbm13 PE=1 SV=1",6.614,6.987,6.784,6.886,6.697,6.646,6.395,6.107,6.144,6.24,-0.487,0.015,"Protein MAK16 homolog","Rbm13","no_change"
"3886","CG8735, isoform A OS=Drosophila melanogaster GN=CG8735 PE=1 SV=1",5.362,5.126,5.165,4.913,4.87,5.227,5.465,5.661,5.631,5.655,0.441,0.022,"CG8735, isoform A","CG8735","no_change"
"3887","RE41093p OS=Drosophila melanogaster GN=ValRS-m PE=2 SV=1",4.514,3.824,4.23,3.726,4.081,4.248,4.232,4.208,4.66,4.474,0.289,0.148,"RE41093p","ValRS-m","no_change"
"3888","CG5577, isoform A OS=Drosophila melanogaster GN=Dmel\CG5577 PE=2 SV=1",4.767,5.126,5.098,4.94,4.909,4.97,4.824,4.953,4.687,4.947,-0.092,0.401,"CG5577, isoform A","Dmel\CG5577","no_change"
"3889","CG1143, isoform A OS=Drosophila melanogaster GN=Dmel\CG1143 PE=1 SV=1",6.307,6.513,6.403,6.38,6.287,6.296,5.929,6.085,5.937,5.66,-0.397,0.023,"CG1143, isoform A","Dmel\CG1143","no_change"
"3890","CG2063 OS=Drosophila melanogaster GN=CG2063 PE=2 SV=1",4.9,5.489,5.23,5.575,5.134,5.004,5.315,5.355,5.15,5.264,-0.048,0.78,"CG2063","CG2063","no_change"
"3891","LD09531p OS=Drosophila melanogaster GN=Larp7 PE=1 SV=1",6.583,6.762,6.815,6.825,6.628,6.826,6.875,6.486,6.45,6.438,-0.108,0.418,"LD09531p","Larp7","no_change"
"3892","Uncharacterized protein, isoform A OS=Drosophila melanogaster GN=HPS3 PE=1 SV=2",3.876,4.085,3.71,3.987,3.636,4.215,3.654,2.986,3.5,3.138,-0.36,0.181,"Uncharacterized protein, isoform A","HPS3","no_change"
"3893","Histone deacetylase OS=Drosophila melanogaster GN=HDAC3 PE=1 SV=1",6.011,6.343,5.922,6.087,6.096,6.243,6.01,5.756,5.896,5.612,-0.188,0.225,"Histone deacetylase","HDAC3","no_change"
"3894","Uncharacterized protein OS=Drosophila melanogaster GN=CG32783 PE=4 SV=2",5.818,6.04,5.867,6.336,5.958,5.917,5.803,5.595,5.254,4.837,-0.523,0.059,"Uncharacterized protein","CG32783","no_change"
"3895","Protein bcn92 OS=Drosophila melanogaster GN=bcn92 PE=3 SV=1",7.585,7.207,7.196,7.142,7.38,7.266,7.307,7.53,7.527,7.613,0.147,0.262,"Protein bcn92","bcn92","no_change"
"3896","mRNA-capping enzyme OS=Drosophila melanogaster GN=mRNA-cap PE=2 SV=1",6.44,7.292,6.956,7.12,6.711,6.75,6.626,6.049,5.964,5.448,-0.736,0.045,"mRNA-capping enzyme","mRNA-cap","no_change"
"3897","Modular serine protease OS=Drosophila melanogaster GN=modSP PE=1 SV=2",5.004,5.441,5.196,5.286,5.217,5.338,5.267,5.308,4.924,4.828,-0.096,0.536,"Modular serine protease","modSP","no_change"
"3898","IP05433p OS=Drosophila melanogaster GN=CG12848 PE=2 SV=2",6.389,6.47,6.217,6.163,6.084,6.479,6.431,6.441,6.425,6.418,0.174,0.092,"IP05433p","CG12848","no_change"
"3899","Tetraspanin OS=Drosophila melanogaster GN=Tsp74F PE=2 SV=1",5.949,5.805,5.845,5.43,5.755,5.922,6.139,6.396,6.484,6.305,0.492,0.019,"Tetraspanin","Tsp74F","no_change"
"3900","LD24737p OS=Drosophila melanogaster GN=l(1)G0007 PE=1 SV=2",3.238,3.536,4.116,2.751,3.714,4.111,3.871,3.549,3.46,3.445,0.216,0.472,"LD24737p","l(1)G0007","no_change"
"3901","FI07225p OS=Drosophila melanogaster GN=Ski6 PE=1 SV=1",8.062,8.315,8.106,8.19,8.062,8.323,8.172,8.075,8.105,7.958,-0.021,0.852,"FI07225p","Ski6","no_change"
"3902","RE73310p OS=Drosophila melanogaster GN=CG30493;CG30496;l(2)08492 PE=1 SV=1",5.888,6.328,6.269,6.075,5.918,5.912,6.373,6.129,6.171,6.152,0.052,0.722,"RE73310p","CG30493;CG30496;l(2)08492","no_change"
"3903","Boundary element associated factor OS=Drosophila melanogaster GN=BEAF-32 PE=1 SV=1",7.015,7.342,7.015,7.251,7.384,6.989,6.621,6.641,6.424,6.298,-0.607,0.013,"Boundary element associated factor","BEAF-32","no_change"
"3904","Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial OS=Drosophila melanogaster GN=GatC PE=3 SV=1",7.337,7.545,7.378,7.439,7.367,7.285,7.223,7.094,7.167,6.999,-0.26,0.022,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial","GatC","no_change"
"3905","Uncharacterized protein, isoform H OS=Drosophila melanogaster GN=CG34408 PE=4 SV=1",5.3,5.379,5.507,5.311,5.32,5.438,5.156,5.116,4.996,4.939,-0.235,0.07,"Uncharacterized protein, isoform H","CG34408","no_change"
"3906","Vesicular acetylcholine transporter OS=Drosophila melanogaster GN=VAChT PE=2 SV=2",5.84,5.754,5.996,5.754,5.64,5.346,5.409,5.374,5.357,5.261,-0.447,0.004,"Vesicular acetylcholine transporter","VAChT","no_change"
"3907","GH26007p OS=Drosophila melanogaster GN=Dmel\CG14969 PE=1 SV=1",5.169,5.876,5.607,5.819,5.791,5.72,5.729,5.437,5.346,5.384,-0.13,0.472,"GH26007p","Dmel\CG14969","no_change"
"3908","Probable maleylacetoacetate isomerase 2 OS=Drosophila melanogaster GN=GstZ2 PE=1 SV=1",7.678,7.683,7.763,7.667,7.678,7.501,7.32,7.446,7.333,7.238,-0.326,0.008,"Probable maleylacetoacetate isomerase 2","GstZ2","no_change"
"3909","Uncharacterized protein, isoform H OS=Drosophila melanogaster GN=CG32694 PE=4 SV=1",2.808,2.896,3.373,3.623,3.609,2.711,3.437,2.869,2.678,2.457,-0.432,0.129,"Uncharacterized protein, isoform H","CG32694","no_change"
"3910","FI03225p OS=Drosophila melanogaster GN=ltl PE=1 SV=2",6.555,6.677,6.575,6.734,6.613,6.788,6.67,6.818,6.749,6.648,0.104,0.171,"FI03225p","ltl","no_change"
"3911","LD23072p OS=Drosophila melanogaster GN=pasha PE=2 SV=1",6.193,6.379,6.4,6.496,6.347,6.35,6.267,5.986,5.979,5.881,-0.27,0.058,"LD23072p","pasha","no_change"
"3912","Protein arginine methyltransferase NDUFAF7 homolog, mitochondrial OS=Drosophila melanogaster GN=CG17726 PE=2 SV=1",7.242,7.641,7.415,7.584,7.449,7.047,7.072,6.618,6.401,6.297,-0.779,0.011,"Protein arginine methyltransferase NDUFAF7 homolog, mitochondrial","CG17726","no_change"
"3913","CG7028, isoform C OS=Drosophila melanogaster GN=BcDNA:GH04978 PE=1 SV=1",4.338,4.45,4.538,4.172,4.274,4.12,4.106,4.181,4.055,3.889,-0.284,0.028,"CG7028, isoform C","BcDNA:GH04978","no_change"
"3914","CG9896 OS=Drosophila melanogaster GN=CG9896 PE=2 SV=1",7.187,7.354,7.332,7.353,7.359,7.061,7.227,7.059,7.041,7.066,-0.226,0.021,"CG9896","CG9896","no_change"
"3915","Greatwall, isoform A OS=Drosophila melanogaster GN=gwl PE=2 SV=1",4.655,4.551,4.983,5.087,3.958,5.172,5.01,4.869,5.045,4.746,0.322,0.194,"Greatwall, isoform A","gwl","no_change"
"3916","Dementin, isoform H OS=Drosophila melanogaster GN=Dmtn PE=4 SV=1",6.087,6.485,6.178,6.474,6.312,6.142,6.218,6.116,5.818,6.096,-0.229,0.093,"Dementin, isoform H","Dmtn","no_change"
"3917","GEO09618p1 OS=Drosophila melanogaster GN=RpL38 PE=2 SV=1",7.164,6.971,7.042,6.979,7.036,7.091,7.199,7.106,7.103,7.118,0.085,0.225,"GEO09618p1","RpL38","no_change"
"3918","CG1109, isoform A OS=Drosophila melanogaster GN=Wdr33 PE=1 SV=2",5.978,5.573,6.023,5.99,5.901,6.079,6.156,6.088,6.024,5.967,0.17,0.142,"CG1109, isoform A","Wdr33","no_change"
"3919","Septin interacting protein 3, isoform B OS=Drosophila melanogaster GN=sip3 PE=1 SV=1",5.68,5.569,5.809,5.472,5.478,5.438,5.771,5.72,5.603,5.742,0.054,0.641,"Septin interacting protein 3, isoform B","sip3","no_change"
"3920","Ion transport peptide, isoform C OS=Drosophila melanogaster GN=ITP PE=4 SV=2",6.442,6.417,6.568,6.444,6.474,6.367,6.298,6.607,6.625,6.944,0.099,0.483,"Ion transport peptide, isoform C","ITP","no_change"
"3921","CG3773 OS=Drosophila melanogaster GN=CG3773 PE=4 SV=1",6.11,6.247,6.187,6.243,5.794,6.327,6.39,6.398,6.358,6.164,0.211,0.093,"CG3773","CG3773","no_change"
"3922","LP21163p OS=Drosophila melanogaster GN=RSG7 PE=2 SV=2",3.097,3.68,3.649,3.278,3.676,2.909,2.717,3.123,2.386,1.48,-0.953,0.028,"LP21163p","RSG7","no_change"
"3923","Acid phosphatase 1, isoform B OS=Drosophila melanogaster GN=Acph-1 PE=1 SV=1",7.633,7.907,7.798,7.71,7.636,7.479,7.791,7.476,7.347,7.124,-0.294,0.065,"Acid phosphatase 1, isoform B","Acph-1","no_change"
"3924","GEO09637p1 OS=Drosophila melanogaster GN=RpL37A PE=2 SV=1",6.869,4.983,5.76,5.4,5.806,6.313,6.951,7.666,8.089,8.293,1.699,0.019,"GEO09637p1","RpL37A","up"
"3925","CG8397 OS=Drosophila melanogaster GN=CG8397 PE=1 SV=1",8.044,7.996,7.942,8.032,7.83,7.986,8.114,8.037,7.977,7.942,0.042,0.586,"CG8397","CG8397","no_change"
"3926","NEDD8 OS=Drosophila melanogaster GN=Nedd8 PE=1 SV=1",6.744,7.014,6.707,6.695,6.758,6.581,6.738,6.532,6.503,6.152,-0.283,0.063,"NEDD8","Nedd8","no_change"
"3927","ATP-dependent (S)-NAD(P)H-hydrate dehydratase OS=Drosophila melanogaster GN=CG10424 PE=2 SV=1",7.733,6.817,7.037,6.742,7.049,7.46,7.831,8.274,8.299,8.082,0.914,0.015,"ATP-dependent (S)-NAD(P)H-hydrate dehydratase","CG10424","no_change"
"3928","Calcium-binding protein E63-1 OS=Drosophila melanogaster GN=Eip63F-1 PE=2 SV=2",6.704,6.745,6.657,6.636,6.931,6.48,6.632,6.568,6.622,6.7,-0.134,0.144,"Calcium-binding protein E63-1","Eip63F-1","no_change"
"3929","CG1461, isoform A OS=Drosophila melanogaster GN=CG1461 PE=2 SV=1",6.949,6.739,6.759,6.988,6.735,6.815,7.001,7.035,6.918,6.652,0.05,0.663,"CG1461, isoform A","CG1461","no_change"
"3930","Inositol-1-monophosphatase OS=Drosophila melanogaster GN=Dmel\CG17026 PE=2 SV=1",6.262,6.168,6.257,6.092,6.162,6.321,6.296,6.143,6.098,6.393,0.062,0.487,"Inositol-1-monophosphatase","Dmel\CG17026","no_change"
"3931","CG9259, isoform A OS=Drosophila melanogaster GN=Dmel\CG9259 PE=2 SV=1",5.671,4.999,5.271,5.167,5.749,4.862,5.207,4.82,5.549,6.076,-0.069,0.839,"CG9259, isoform A","Dmel\CG9259","no_change"
"3932","CG8129, isoform B OS=Drosophila melanogaster GN=CG8129 PE=2 SV=1",6.534,6.677,6.619,6.758,6.889,6.545,5.871,6.125,6.355,6.249,-0.466,0.021,"CG8129, isoform B","CG8129","no_change"
"3933","Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase 1 OS=Drosophila melanogaster GN=CG5220 PE=2 SV=1",6.546,6.69,6.509,6.589,6.507,6.658,6.508,6.431,6.289,6.345,-0.122,0.215,"Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase 1","CG5220","no_change"
"3934","Cytochrome P450 4d2 OS=Drosophila melanogaster GN=Cyp4d2 PE=2 SV=2",5.987,6.381,6.319,6.208,6.329,6.113,5.959,6.014,5.911,5.749,-0.296,0.034,"Cytochrome P450 4d2","Cyp4d2","no_change"
"3935","Tetratricopeptide repeat protein 19 homolog, mitochondrial OS=Drosophila melanogaster GN=Ttc19 PE=2 SV=1",6.569,6.161,5.971,5.816,6.289,6.336,6.426,6.543,6.679,6.77,0.39,0.053,"Tetratricopeptide repeat protein 19 homolog, mitochondrial","Ttc19","no_change"
"3936","Probable ATP-dependent RNA helicase DDX55 homolog OS=Drosophila melanogaster GN=CG9630 PE=2 SV=1",6.539,6.877,6.697,6.704,6.509,6.568,6.48,6.138,5.782,5.413,-0.589,0.047,"Probable ATP-dependent RNA helicase DDX55 homolog","CG9630","no_change"
"3937","EG:152A3.5 protein (Fbgn0003116;pn protein) OS=Drosophila melanogaster GN=pn PE=1 SV=1",6.045,5.96,6.082,6.17,6.246,6.28,6.018,6.343,6.514,6.651,0.261,0.088,"EG:152A3.5 protein (Fbgn0003116;pn protein)","pn","no_change"
"3938","Uncharacterized protein, isoform B OS=Drosophila melanogaster GN=Dmel\CG10984 PE=1 SV=2",4.793,5.131,4.746,5.13,5.32,4.955,4.717,4.654,4.564,4.54,-0.338,0.056,"Uncharacterized protein, isoform B","Dmel\CG10984","no_change"
"3939","CG6984 OS=Drosophila melanogaster GN=CG6984 PE=1 SV=1",7.991,8.105,8.1,8.324,7.826,8.216,7.727,8.02,7.625,7.289,-0.294,0.168,"CG6984","CG6984","no_change"
"3940","LD28068p OS=Drosophila melanogaster GN=SPF30 PE=1 SV=1",4.876,5.085,5.187,4.822,4.788,5.327,5.063,5.152,4.993,5.228,0.201,0.115,"LD28068p","SPF30","no_change"
"3941","GH02741p2 OS=Drosophila melanogaster GN=CG9865-RA PE=2 SV=1",4.731,5.121,4.842,4.805,5.031,5.014,4.942,4.895,5.147,4.923,0.078,0.478,"GH02741p2","CG9865-RA","no_change"
"3942","Homogentisate 1,2-dioxygenase OS=Drosophila melanogaster GN=hgo PE=2 SV=3",3.267,2.251,2.933,3.116,1.636,2.909,3.498,3.742,4.147,4.381,1.095,0.039,"Homogentisate 1,2-dioxygenase","hgo","up"
"3943","Glucose transporter type 1 OS=Drosophila melanogaster GN=Glut1 PE=2 SV=4",5.993,6.138,5.899,6.073,5.945,5.95,5.97,5.766,5.615,5.564,-0.237,0.067,"Glucose transporter type 1","Glut1","no_change"
"3944","Uncharacterized protein, isoform E OS=Drosophila melanogaster GN=Dmel\CG10359 PE=1 SV=1",4.942,5.141,5.032,5.087,5.19,5.102,4.791,4.644,3.928,4.331,-0.519,0.052,"Uncharacterized protein, isoform E","Dmel\CG10359","no_change"
"3945","CG6770 OS=Drosophila melanogaster GN=CT21019 PE=1 SV=1",5.715,5.069,5.598,5.073,5.081,5.466,5.449,5.266,5.362,5.19,0.04,0.838,"CG6770","CT21019","no_change"
"3946","Receptor expression-enhancing protein OS=Drosophila melanogaster GN=CG8331 PE=3 SV=1",7.142,7.172,7.327,7.082,7.219,7.288,7.258,7.231,7.114,7.071,0.004,0.966,"Receptor expression-enhancing protein","CG8331","no_change"
"3947","BcDNA.LD12153 OS=Drosophila melanogaster GN=Dph5 PE=1 SV=2",6.82,5.952,6.606,6.19,6.295,6.743,6.958,7.189,7.236,7.256,0.704,0.016,"BcDNA.LD12153","Dph5","no_change"
"3948","LD21102p OS=Drosophila melanogaster GN=Ugt35a PE=1 SV=1",7.055,7.322,7.111,7.405,7.329,7.25,7.225,7.201,7.064,7.082,-0.08,0.435,"LD21102p","Ugt35a","no_change"
"3949","Enhancer of polycomb-like protein OS=Drosophila melanogaster GN=E(Pc) PE=1 SV=1",5.215,5.573,5.433,5.278,5.417,5.372,4.997,4.654,4.687,4.529,-0.535,0.026,"Enhancer of polycomb-like protein","E(Pc)","no_change"
"3950","Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11 OS=Drosophila melanogaster GN=Pde11 PE=1 SV=4",5.859,6.115,6.202,5.956,5.673,6.03,6.061,5.735,5.751,5.846,-0.077,0.592,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11","Pde11","no_change"
"3951","DNA polymerase epsilon 255kD subunit OS=Drosophila melanogaster GN=DNApol-epsilon255 PE=1 SV=3",4.767,4.638,4.558,4.582,4.496,4.78,4.843,5.014,4.784,4.684,0.212,0.051,"DNA polymerase epsilon 255kD subunit","DNApol-epsilon255","no_change"
"3952","CG5116, isoform A OS=Drosophila melanogaster GN=CG5116-RA PE=1 SV=2",5.674,5.885,5.627,5.857,5.887,5.35,5.437,5.401,5.312,5.194,-0.447,0.005,"CG5116, isoform A","CG5116-RA","no_change"
"3953","cGMP-dependent protein kinase, isozyme 1 OS=Drosophila melanogaster GN=Pkg21D PE=1 SV=2",5.671,5.717,5.585,5.707,5.836,5.6,5.608,5.654,5.622,5.331,-0.14,0.155,"cGMP-dependent protein kinase, isozyme 1","Pkg21D","no_change"
"3954","RE23632p OS=Drosophila melanogaster GN=CG12746 PE=2 SV=1",6.227,6.744,6.394,6.666,6.559,6.436,6.065,5.854,5.638,5.35,-0.649,0.028,"RE23632p","CG12746","no_change"
"3955","Vav ortholog, isoform C OS=Drosophila melanogaster GN=Vav PE=1 SV=1",5.876,6.742,6.377,6.596,6.516,6.438,5.891,5.407,5.483,4.806,-0.817,0.044,"Vav ortholog, isoform C","Vav","no_change"
"3956","CG7968 OS=Drosophila melanogaster GN=BG:DS00941.15 PE=4 SV=1",5.548,6.136,5.689,5.966,6.079,5.999,5.492,5.386,5.439,5.57,-0.306,0.113,"CG7968","BG:DS00941.15","no_change"
"3957","Cell division cycle 16 ortholog OS=Drosophila melanogaster GN=Cdc16 PE=1 SV=1",5.009,5.105,5.051,5.038,4.764,5.256,5.214,5.109,5.34,4.811,0.152,0.256,"Cell division cycle 16 ortholog","Cdc16","no_change"
"3958","Cytochrome c oxidase subunit 7A, isoform B OS=Drosophila melanogaster GN=COX7A PE=4 SV=1",7.494,7.569,7.525,7.491,7.399,7.248,7.34,7.275,7.259,7.054,-0.261,0.018,"Cytochrome c oxidase subunit 7A, isoform B","COX7A","no_change"
"3959","MIP04347p OS=Drosophila melanogaster GN=CG12224-RA PE=2 SV=2",3.58,3.908,3.746,3.834,3.904,3.466,4.059,3.779,3.86,4.774,0.193,0.457,"MIP04347p","CG12224-RA","no_change"
"3960","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 homolog OS=Drosophila melanogaster GN=sicily PE=2 SV=1",6.646,6.398,6.622,6.62,6.718,6.558,6.575,6.757,6.778,6.98,0.129,0.274,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 homolog","sicily","no_change"
"3961","Cuticular protein 50Cb OS=Drosophila melanogaster GN=Cpr50Cb PE=2 SV=1",4.872,5.501,5.335,5.239,5.316,5.832,5.66,5.364,4.935,5.245,0.155,0.478,"Cuticular protein 50Cb","Cpr50Cb","no_change"
"3962","IP12339p OS=Drosophila melanogaster GN=anon-WO0118547.16 PE=2 SV=1",5.969,6.377,6.253,6.212,6.335,5.965,5.983,5.972,5.961,6.311,-0.191,0.133,"IP12339p","anon-WO0118547.16","no_change"
"3963","Metalloendopeptidase OS=Drosophila melanogaster GN=BG:BACR44L22.1 PE=1 SV=1",6.599,7.363,7.095,7.16,6.857,6.891,6.903,6.751,6.621,6.676,-0.247,0.156,"Metalloendopeptidase","BG:BACR44L22.1","no_change"
"3964","CG6356 OS=Drosophila melanogaster GN=CG6356 PE=2 SV=2",6.328,6.652,6.664,6.591,6.695,6.365,6.303,6.15,5.812,6.057,-0.449,0.019,"CG6356","CG6356","no_change"
"3965","CG5292, isoform A OS=Drosophila melanogaster GN=CG5292 PE=2 SV=1",5.592,5.573,6.098,5.888,5.689,5.597,5.6,5.483,5.561,5.465,-0.227,0.095,"CG5292, isoform A","CG5292","no_change"
"3966","GH25379p OS=Drosophila melanogaster GN=Jafrac2 PE=1 SV=1",6.922,7.274,7.057,7.289,6.898,7.102,7,6.799,6.657,6.542,-0.268,0.107,"GH25379p","Jafrac2","no_change"
"3967","Echinoid, isoform A OS=Drosophila melanogaster GN=ed PE=1 SV=2",6.895,7.138,6.937,6.962,6.945,6.904,6.817,6.683,6.493,6.516,-0.293,0.034,"Echinoid, isoform A","ed","no_change"
"3968","Sex comb on midleg, isoform B OS=Drosophila melanogaster GN=Scm PE=4 SV=1",4.432,4.799,4.462,4.596,4.853,4.711,4.538,4.555,4.434,4.41,-0.099,0.43,"Sex comb on midleg, isoform B","Scm","no_change"
"3969","LD23667p OS=Drosophila melanogaster GN=Syx7 PE=1 SV=1",5.539,4.988,5.392,5.195,5.718,5.346,5.471,5.292,5.326,5.309,-0.017,0.921,"LD23667p","Syx7","no_change"
"3970","CG9663 OS=Drosophila melanogaster GN=Dmel\CG9663 PE=2 SV=1",3.58,3.409,3.433,3.26,2.788,2.93,3.239,2.886,2.979,2.939,-0.3,0.106,"CG9663","Dmel\CG9663","no_change"
"3971","Shaker, isoform T OS=Drosophila melanogaster GN=Sh PE=3 SV=1",0.638,2.288,1.558,2.569,2.091,3.009,1.474,1.448,1.408,1.338,-0.093,0.87,"Shaker, isoform T","Sh","no_change"
"3972","CG8578, isoform A OS=Drosophila melanogaster GN=CG8578 PE=1 SV=2",6.707,6.67,6.598,6.512,6.752,6.594,6.25,6.324,6.149,6.622,-0.26,0.064,"CG8578, isoform A","CG8578","no_change"
"3973","Arginine methyltransferase 8 OS=Drosophila melanogaster GN=Art8 PE=1 SV=1",6.938,6.727,6.798,6.735,6.749,6.491,6.794,6.783,6.671,6.7,-0.102,0.271,"Arginine methyltransferase 8","Art8","no_change"
"3974","CG4009, isoform B OS=Drosophila melanogaster GN=CG4009 PE=4 SV=2",4.715,5.121,5.013,5.384,5.203,5.641,5.48,5.052,5.098,4.732,0.114,0.621,"CG4009, isoform B","CG4009","no_change"
"3975","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I OS=Drosophila melanogaster GN=GlcAT-I PE=2 SV=2",6.614,6.446,6.47,6.517,6.357,6.694,6.445,6.69,6.74,7.158,0.265,0.092,"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I","GlcAT-I","no_change"
"3976","LD10773p OS=Drosophila melanogaster GN=Ns4 PE=1 SV=1",6.692,6.865,6.635,6.845,6.573,6.911,6.717,6.619,6.5,6.353,-0.102,0.451,"LD10773p","Ns4","no_change"
"3977","Female lethal d, isoform C OS=Drosophila melanogaster GN=fl(2)d PE=4 SV=1",4.432,4.949,4.933,4.623,4.882,4.791,4.322,3.978,3.979,3.774,-0.595,0.035,"Female lethal d, isoform C","fl(2)d","no_change"
"3978","ArfGAP with SH3 domain, ANK repeat and PH domain-containing protein OS=Drosophila melanogaster GN=Asap PE=1 SV=1",4.987,5.425,5.204,5.144,5.208,5.009,4.875,4.737,4.578,4.416,-0.471,0.019,"ArfGAP with SH3 domain, ANK repeat and PH domain-containing protein","Asap","no_change"
"3979","Mitochondrial ribosomal protein L53 OS=Drosophila melanogaster GN=mRpL53 PE=1 SV=1",7.253,7.289,7.175,7.138,7.039,7.174,7.291,7.539,7.671,7.759,0.308,0.056,"Mitochondrial ribosomal protein L53","mRpL53","no_change"
"3980","UV radiation resistance-associated gene protein OS=Drosophila melanogaster GN=Uvrag PE=1 SV=1",4.798,4.805,4.901,5.043,5.056,4.914,4.627,4.908,5.041,3.979,-0.227,0.323,"UV radiation resistance-associated gene protein","Uvrag","no_change"
"3981","Mob4, isoform B OS=Drosophila melanogaster GN=Mob4 PE=4 SV=1",6.466,6.407,6.36,6.382,6.405,6.177,6.121,6.41,6.464,6.575,-0.055,0.633,"Mob4, isoform B","Mob4","no_change"
"3982","DNA-directed RNA polymerase II 16 kDa polypeptide OS=Drosophila melanogaster GN=Rpb4 PE=2 SV=5",6.572,6.678,6.73,6.669,6.732,6.847,6.701,6.381,6.487,6.595,-0.074,0.506,"DNA-directed RNA polymerase II 16 kDa polypeptide","Rpb4","no_change"
"3983","LD41558p OS=Drosophila melanogaster GN=l(2)34Fd PE=1 SV=1",5.429,5.314,5.152,5.372,5.235,5.424,5.163,4.945,5.242,4.737,-0.198,0.204,"LD41558p","l(2)34Fd","no_change"
"3984","CG5199, isoform A OS=Drosophila melanogaster GN=Dmel\CG5199 PE=2 SV=1",6.605,6.478,6.55,6.403,6.466,6.682,6.792,6.912,7.005,6.671,0.312,0.018,"CG5199, isoform A","Dmel\CG5199","no_change"
"3985","CG3987 OS=Drosophila melanogaster GN=CG3987 PE=2 SV=2",1.886,2.848,3.447,3.19,2.882,2.303,3.043,2.953,2.251,2.728,-0.195,0.586,"CG3987","CG3987","no_change"
"3986","NAD-dependent protein deacylase Sirt4 OS=Drosophila melanogaster GN=Sirt4 PE=2 SV=2",6.765,6.221,6.523,6.13,6.461,6.473,6.638,6.567,6.574,6.599,0.15,0.284,"NAD-dependent protein deacylase Sirt4","Sirt4","no_change"
"3987","Major facilitator superfamily transporter 16, isoform B OS=Drosophila melanogaster GN=MFS16 PE=2 SV=1",5.712,6.197,5.795,6.078,6.122,5.942,5.717,5.784,5.626,5.586,-0.25,0.092,"Major facilitator superfamily transporter 16, isoform B","MFS16","no_change"
"3988","CG3511, isoform A OS=Drosophila melanogaster GN=CG3511 PE=1 SV=1",5.879,6.056,6.047,5.834,5.995,6.124,6.075,5.711,5.693,5.362,-0.169,0.329,"CG3511, isoform A","CG3511","no_change"
"3989","Uncharacterized protein, isoform B OS=Drosophila melanogaster GN=CG15099 PE=4 SV=1",3.995,4.214,4.013,4.562,4.623,4.515,4.129,4.049,3.804,3.802,-0.222,0.304,"Uncharacterized protein, isoform B","CG15099","no_change"
"3990","LD44813p OS=Drosophila melanogaster GN=Dmel\CG17260 PE=2 SV=1",3.828,4.314,4.44,3.945,4.282,3.94,3.766,3.46,3.738,3.609,-0.459,0.027,"LD44813p","Dmel\CG17260","no_change"
"3991","Uncharacterized protein, isoform B OS=Drosophila melanogaster GN=Dmel\CG14967 PE=1 SV=2",5.253,5.199,5.346,5.34,5.397,5.093,5.295,5.037,5.072,4.713,-0.265,0.056,"Uncharacterized protein, isoform B","Dmel\CG14967","no_change"
"3992","CG1344, isoform A OS=Drosophila melanogaster GN=CG1344 PE=1 SV=1",4.838,4.983,5.056,4.982,4.859,5.028,4.857,4.628,4.559,4.451,-0.239,0.099,"CG1344, isoform A","CG1344","no_change"
"3993","V-type proton ATPase proteolipid subunit OS=Drosophila melanogaster GN=Vha16-3 PE=1 SV=1",7.08,7.364,7.235,7.135,6.968,6.663,6.848,7.064,6.964,7.243,-0.2,0.173,"V-type proton ATPase proteolipid subunit","Vha16-3","no_change"
